ID,species,rep,camtrap.label,week,transect,elevation,lat,long,PlantID,x,y,z
179,ephedra,1,179,1,1,,35.11489,-119.61868,179,2.78,2.26,1.41
180,ephedra,2,180,1,1,,35.11493,-119.6188,180,4.54,3.38,1.74
181,ephedra,3,181,1,1,,35.11472,-119.61887,181,2.07,2.12,1.16
182,ephedra,4,182,1,1,,35.11465,-119.6189,182,2.73,2.04,0.87
183,ephedra,5,183,1,1,,35.11472,-119.619,183,3.72,3.07,1.34
184,ephedra,6,184,1,1,,35.11468,-119.61913,184,2.97,2.21,0.87
185,ephedra,7,185,1,1,,35.11472,-119.61911,185,1.93,1.97,1.07
186,ephedra,8,186,1,1,,35.1148,-119.61909,186,3.03,2.93,0.84
187,ephedra,9,187,1,1,,35.11475,-119.61929,187,3.53,2.24,1.31
188,ephedra,10,188,1,1,,35.11494,-119.61923,188,4.02,2.48,1.26
204,ephedra,1,204,2,2,,35.11515,-119.61954,204,3.64,3.03,1.19
205,ephedra,2,205,2,2,,35.11504,-119.61957,205,3.14,3.04,1.04
206,ephedra,3,206,2,2,,35.11493,-119.61953,206,2.12,1.89,0.98
207,ephedra,4,207,2,2,,35.11488,-119.61971,207,3.58,2.83,1.08
208,ephedra,5,208,2,2,,35.11501,-119.61988,208,3.97,3.74,1.27
209,ephedra,6,209,2,2,,35.11507,-119.61996,209,3.62,3.83,1.53
210,ephedra,7,210,2,2,,35.11516,-119.62006,210,3.44,2.82,1.13
211,ephedra,8,211,2,2,,35.11526,-119.61982,211,1.68,1.88,1.02
212,ephedra,9,212,2,2,,35.11532,-119.6198,212,2.61,2.91,1.38
213,ephedra,10,213,2,2,,35.11542,-119.61977,213,2.82,2.16,0.98
379,ephedra,1,379,3,3,,35.11548,-119.61973,379,3.34,2.98,1.56
378,ephedra,2,378,3,3,,35.11543,-119.6199,378,2.15,2.14,1.09
377,ephedra,3,377,3,3,,35.11537,-119.61993,377,1.06,1.22,0.81
376,ephedra,4,376,3,3,,35.11543,-119.61998,376,2.65,2.52,0.84
375,ephedra,5,375,3,3,,35.11547,-119.61999,375,1.41,1.8,1.01
374,ephedra,6,374,3,3,,35.11551,-119.62013,374,1.76,1.68,1.16
373,ephedra,7,373,3,3,,35.11554,-119.62028,373,3.47,2.41,1.12
372,ephedra,8,372,3,3,,35.11546,-119.62037,372,1.08,1.01,0.86
371,ephedra,9,371,3,3,,35.11543,-119.62035,371,2.51,2.52,1.16
370,ephedra,10,370,3,3,,35.11539,-119.62036,370,1.59,1.75,1.84
