year,region,site,ID,species,rep,camtrap.label,week,transect,elevation,lat,long,x,y,z
2017,MNP,Mojave,1,buckhorn,1,16,1,1,1321.227295,34.782643,-115.662498,1.7,1.35,1.46
2017,MNP,Mojave,2,buckhorn,2,27,1,1,1321.24939,34.782213,-115.662715,1.32,1.02,1.22
2017,MNP,Mojave,3,buckhorn,3,28,1,2,1319.281006,34.781928,-115.662539,2.85,2.23,1.28
2017,MNP,Mojave,4,buckhorn,4,15,1,2,1318.40918,34.781686,-115.662253,1.45,1.19,1.13
2017,MNP,Mojave,5,buckhorn,5,p10,1,3,1317.421753,34.781572,-115.662282,1.97,1.7,1.45
2017,MNP,Mojave,6,buckhorn,6,j1,1,3,1318.14624,34.781464,-115.662281,1.93,1.34,1.15
2017,MNP,Mojave,7,buckhorn,7,32,1,3,1317.036133,34.781213,-115.662118,2.32,2.06,1.45
2017,MNP,Mojave,8,buckhorn,8,25,1,3,1315.477417,34.780965,-115.662208,2.56,1.88,1.53
2017,MNP,Mojave,1,larrea,1,j2,1,4,1300.570557,34.778354,-115.661882,4.4,4.14,2.28
2017,MNP,Mojave,2,larrea,2,a,1,4,1297.639404,34.778099,-115.661761,3.63,3.43,2.4
2017,MNP,Mojave,3,larrea,3,5b,1,5,1295.219971,34.777848,-115.661311,3.63,2.94,1.65
2017,MNP,Mojave,4,larrea,4,4,1,5,1292.016602,34.77751,-115.661042,4.8,4.25,3.04
2017,MNP,Mojave,5,larrea,5,13e,1,5,1290.855835,34.777347,-115.660929,4.06,3.18,2.27
2017,MNP,Mojave,6,larrea,6,14,1,6,1286.101929,34.776684,-115.660745,3.74,3.41,2.63
2017,MNP,Mojave,7,larrea,7,10,1,6,1284.737793,34.776384,-115.660734,2.76,2.92,2.41
2017,MNP,Mojave,8,larrea,8,14b,1,6,1283.691162,34.776453,-115.660723,4.03,2.41,2.75
2017,MNP,Mojave,1,buckhorn,1,16,2,1,1321.227295,34.782643,-115.662498,1.7,1.35,1.46
2017,MNP,Mojave,2,buckhorn,2,27,2,1,1321.24939,34.782213,-115.662715,1.32,1.02,1.22
2017,MNP,Mojave,3,buckhorn,3,28,2,2,1319.281006,34.781928,-115.662539,2.85,2.23,1.28
2017,MNP,Mojave,4,buckhorn,4,15,2,2,1318.40918,34.781686,-115.662253,1.45,1.19,1.13
2017,MNP,Mojave,5,buckhorn,5,p10,2,3,1317.421753,34.781572,-115.662282,1.97,1.7,1.45
2017,MNP,Mojave,6,buckhorn,6,j1,2,3,1318.14624,34.781464,-115.662281,1.93,1.34,1.15
2017,MNP,Mojave,7,buckhorn,7,32,2,3,1317.036133,34.781213,-115.662118,2.32,2.06,1.45
2017,MNP,Mojave,8,buckhorn,8,25,2,3,1315.477417,34.780965,-115.662208,2.56,1.88,1.53
2017,MNP,Mojave,1,larrea,1,j2,2,4,1300.570557,34.778354,-115.661882,4.4,4.14,2.28
2017,MNP,Mojave,2,larrea,2,a,2,4,1297.639404,34.778099,-115.661761,3.63,3.43,2.4
2017,MNP,Mojave,3,larrea,3,5b,2,5,1295.219971,34.777848,-115.661311,3.63,2.94,1.65
2017,MNP,Mojave,4,larrea,4,4,2,5,1292.016602,34.77751,-115.661042,4.8,4.25,3.04
2017,MNP,Mojave,5,larrea,5,13e,2,5,1290.855835,34.777347,-115.660929,4.06,3.18,2.27
2017,MNP,Mojave,6,larrea,6,14,2,6,1286.101929,34.776684,-115.660745,3.74,3.41,2.63
2017,MNP,Mojave,7,larrea,7,10,2,6,1284.737793,34.776384,-115.660734,2.76,2.92,2.41
2017,MNP,Mojave,8,larrea,8,14b,2,6,1283.691162,34.776453,-115.660723,4.03,2.41,2.75
2017,MNP,Mojave,1,buckhorn,1,16,3,1,1321.227295,34.782643,-115.662498,1.7,1.35,1.46
2017,MNP,Mojave,2,buckhorn,2,27,3,1,1321.24939,34.782213,-115.662715,1.32,1.02,1.22
2017,MNP,Mojave,3,buckhorn,3,28,3,2,1319.281006,34.781928,-115.662539,2.85,2.23,1.28
2017,MNP,Mojave,4,buckhorn,4,15,3,2,1318.40918,34.781686,-115.662253,1.45,1.19,1.13
2017,MNP,Mojave,5,buckhorn,5,p10,3,3,1317.421753,34.781572,-115.662282,1.97,1.7,1.45
2017,MNP,Mojave,6,buckhorn,6,j1,3,3,1318.14624,34.781464,-115.662281,1.93,1.34,1.15
2017,MNP,Mojave,7,buckhorn,7,32,3,3,1317.036133,34.781213,-115.662118,2.32,2.06,1.45
2017,MNP,Mojave,8,buckhorn,8,25,3,3,1315.477417,34.780965,-115.662208,2.56,1.88,1.53
2017,MNP,Mojave,1,larrea,1,j2,3,4,1300.570557,34.778354,-115.661882,4.4,4.14,2.28
2017,MNP,Mojave,2,larrea,2,a,3,4,1297.639404,34.778099,-115.661761,3.63,3.43,2.4
2017,MNP,Mojave,3,larrea,3,5b,3,5,1295.219971,34.777848,-115.661311,3.63,2.94,1.65
2017,MNP,Mojave,4,larrea,4,4,3,5,1292.016602,34.77751,-115.661042,4.8,4.25,3.04
2017,MNP,Mojave,5,larrea,5,13e,3,5,1290.855835,34.777347,-115.660929,4.06,3.18,2.27
2017,MNP,Mojave,6,larrea,6,14,3,6,1286.101929,34.776684,-115.660745,3.74,3.41,2.63
2017,MNP,Mojave,7,larrea,7,10,3,6,1284.737793,34.776384,-115.660734,2.76,2.92,2.41
2017,MNP,Mojave,8,larrea,8,14b,3,6,1283.691162,34.776453,-115.660723,4.03,2.41,2.75
