site,microsite,week,rep,animal,captures,n,rate
Carrizo,ephedra,1,2,kangaroo rat,35,35,1
Carrizo,ephedra,1,2,none,0,3481,0
Carrizo,ephedra,1,2,squirrel,9,9,1
Carrizo,ephedra,1,4,kangaroo rat,132,132,1
Carrizo,ephedra,1,4,none,0,6317,0
Carrizo,ephedra,1,4,rabbit,5,5,1
Carrizo,ephedra,1,4,squirrel,54,54,1
Carrizo,ephedra,1,4,unknown,1,1,1
Carrizo,ephedra,1,5,kangaroo rat,11,11,1
Carrizo,ephedra,1,5,none,0,1104,0
Carrizo,ephedra,1,5,rabbit,1,1,1
Carrizo,ephedra,1,5,squirrel,2,2,1
Carrizo,ephedra,1,6,kangaroo rat,3,3,1
Carrizo,ephedra,1,6,none,0,4871,0
Carrizo,ephedra,1,7,kangaroo rat,16,16,1
Carrizo,ephedra,1,7,none,0,6168,0
Carrizo,ephedra,1,7,squirrel,4,4,1
Carrizo,ephedra,1,8,none,0,2131,0
Carrizo,ephedra,1,9,kangaroo rat,33,33,1
Carrizo,ephedra,1,9,lizard,2,2,1
Carrizo,ephedra,1,9,none,0,2751,0
Carrizo,ephedra,1,9,squirrel,12,12,1
Carrizo,ephedra,1,9,unknown,1,1,1
Carrizo,ephedra,1,10,kangaroo rat,5,5,1
Carrizo,ephedra,1,10,lizard,116,116,1
Carrizo,ephedra,1,10,none,0,5148,0
Carrizo,ephedra,1,10,squirrel,4,4,1
Carrizo,ephedra,2,1,lizard,9,9,1
Carrizo,ephedra,2,1,none,0,2828,0
Carrizo,ephedra,2,1,squirrel,8,8,1
Carrizo,ephedra,2,1,unknown,2,2,1
Carrizo,ephedra,2,2,kangaroo rat,4,4,1
Carrizo,ephedra,2,2,none,0,3573,0
Carrizo,ephedra,2,2,rabbit,3,3,1
Carrizo,ephedra,2,2,squirrel,14,14,1
Carrizo,ephedra,2,2,unknown,1,1,1
Carrizo,ephedra,2,3,kangaroo rat,1,1,1
Carrizo,ephedra,2,3,none,0,8871,0
Carrizo,ephedra,2,3,rabbit,14,14,1
Carrizo,ephedra,2,3,squirrel,5,5,1
Carrizo,ephedra,2,4,kangaroo rat,1,1,1
Carrizo,ephedra,2,4,none,0,1252,0
Carrizo,ephedra,2,4,squirrel,3,3,1
Carrizo,ephedra,2,5,kangaroo rat,2,2,1
Carrizo,ephedra,2,5,none,0,960,0
Carrizo,ephedra,2,5,squirrel,2,2,1
Carrizo,ephedra,2,6,none,0,3041,0
Carrizo,ephedra,2,7,kangaroo rat,1,1,1
Carrizo,ephedra,2,7,lizard,1,1,1
Carrizo,ephedra,2,7,none,0,4511,0
Carrizo,ephedra,2,7,unknown,1,1,1
Carrizo,ephedra,2,8,kangaroo rat,10,10,1
Carrizo,ephedra,2,8,kit fox,20,20,1
Carrizo,ephedra,2,8,none,0,221,0
Carrizo,ephedra,2,8,squirrel,6,6,1
Carrizo,ephedra,2,8,unknown,1,1,1
Carrizo,ephedra,2,9,kangaroo rat,62,62,1
Carrizo,ephedra,2,9,none,0,594,0
Carrizo,ephedra,2,9,squirrel,6,6,1
Carrizo,ephedra,2,10,kangaroo rat,14,14,1
Carrizo,ephedra,2,10,none,0,2099,0
Carrizo,ephedra,2,10,rabbit,1,1,1
Carrizo,ephedra,2,10,squirrel,1,1,1
Carrizo,ephedra,2,10,unknown,1,1,1
Carrizo,ephedra,3,1,kangaroo rat,24,24,1
Carrizo,ephedra,3,1,none,0,6503,0
Carrizo,ephedra,3,2,kangaroo rat,78,78,1
Carrizo,ephedra,3,2,none,0,8974,0
Carrizo,ephedra,3,2,rabbit,13,13,1
Carrizo,ephedra,3,2,squirrel,160,160,1
Carrizo,ephedra,3,2,unknown,4,4,1
Carrizo,ephedra,3,3,kangaroo rat,52,52,1
Carrizo,ephedra,3,3,none,0,4571,0
Carrizo,ephedra,3,3,squirrel,4,4,1
Carrizo,ephedra,3,4,kangaroo rat,49,49,1
Carrizo,ephedra,3,4,kit fox,2,2,1
Carrizo,ephedra,3,4,none,0,5961,0
Carrizo,ephedra,3,5,bird,2,2,1
Carrizo,ephedra,3,5,kangaroo rat,44,44,1
Carrizo,ephedra,3,5,none,0,2925,0
Carrizo,ephedra,3,5,squirrel,10,10,1
Carrizo,ephedra,3,6,kangaroo rat,79,79,1
Carrizo,ephedra,3,6,none,0,7000,0
Carrizo,ephedra,3,6,squirrel,1,1,1
Carrizo,ephedra,3,6,unknown,1,1,1
Carrizo,ephedra,3,7,bird,2,2,1
Carrizo,ephedra,3,7,kangaroo rat,22,22,1
Carrizo,ephedra,3,7,none,0,3463,0
Carrizo,ephedra,3,7,rabbit,1,1,1
Carrizo,ephedra,3,8,kangaroo rat,16,16,1
Carrizo,ephedra,3,8,none,0,4875,0
Carrizo,ephedra,3,9,kangaroo rat,7,7,1
Carrizo,ephedra,3,9,none,0,4309,0
Carrizo,ephedra,NA,10,none,0,1,0
Carrizo,open,1,1,kangaroo rat,24,24,1
Carrizo,open,1,1,none,0,2124,0
Carrizo,open,1,1,squirrel,15,15,1
Carrizo,open,1,2,kangaroo rat,3,3,1
Carrizo,open,1,2,none,0,8591,0
Carrizo,open,1,2,squirrel,1,1,1
Carrizo,open,1,3,kangaroo rat,129,129,1
Carrizo,open,1,3,none,1,471,0.0021231422505307855
Carrizo,open,1,3,rabbit,1,1,1
Carrizo,open,1,3,rat,0,3,0
Carrizo,open,1,4,kangaroo rat,12,12,1
Carrizo,open,1,4,none,0,172,0
Carrizo,open,1,4,rabbit,21,21,1
Carrizo,open,1,4,squirrel,5,5,1
Carrizo,open,1,5,kangaroo rat,172,172,1
Carrizo,open,1,5,none,0,1569,0
Carrizo,open,1,6,kangaroo rat,35,35,1
Carrizo,open,1,6,none,0,61,0
Carrizo,open,1,6,rabbit,5,5,1
Carrizo,open,1,6,squirrel,1,1,1
Carrizo,open,1,7,california thrasher,4,4,1
Carrizo,open,1,7,kangaroo rat,204,204,1
Carrizo,open,1,7,none,0,498,0
Carrizo,open,1,7,rabbit,7,7,1
Carrizo,open,1,7,squirrel,3,3,1
Carrizo,open,1,8,kangaroo rat,9,9,1
Carrizo,open,1,8,none,0,3515,0
Carrizo,open,1,8,rabbit,4,4,1
Carrizo,open,1,9,kangaroo rat,15,15,1
Carrizo,open,1,9,none,0,760,0
Carrizo,open,1,9,rabbit,2,2,1
Carrizo,open,1,9,squirrel,2,2,1
Carrizo,open,1,9,unknown,1,1,1
Carrizo,open,1,10,kangaroo rat,24,24,1
Carrizo,open,1,10,none,0,83,0
Carrizo,open,1,10,rabbit,3,3,1
Carrizo,open,2,1,kangaroo rat,14,14,1
Carrizo,open,2,1,kit fox,1,1,1
Carrizo,open,2,1,none,0,114,0
Carrizo,open,2,1,rabbit,3,3,1
Carrizo,open,2,1,squirrel,2,2,1
Carrizo,open,2,2,kangaroo rat,5,5,1
Carrizo,open,2,2,none,0,3975,0
Carrizo,open,2,2,rabbit,1,1,1
Carrizo,open,2,2,squirrel,2,2,1
Carrizo,open,2,3,none,0,2500,0
Carrizo,open,2,4,kangaroo rat,13,13,1
Carrizo,open,2,4,none,0,59,0
Carrizo,open,2,4,rabbit,2,2,1
Carrizo,open,2,4,rat,1,1,1
Carrizo,open,2,5,kangaroo rat,3,3,1
Carrizo,open,2,5,none,0,80,0
Carrizo,open,2,5,squirrel,1,1,1
Carrizo,open,2,5,unknown,1,1,1
Carrizo,open,2,6,kangaroo rat,8,8,1
Carrizo,open,2,6,kit fox,5,5,1
Carrizo,open,2,6,mammal,1,1,1
Carrizo,open,2,6,none,0,60,0
Carrizo,open,2,6,rabbit,1,1,1
Carrizo,open,2,7,kangaroo rat,24,24,1
Carrizo,open,2,7,none,0,1062,0
Carrizo,open,2,7,squirrel,1,1,1
Carrizo,open,2,8,none,0,872,0
Carrizo,open,2,9,kangaroo rat,104,104,1
Carrizo,open,2,9,none,0,6741,0
Carrizo,open,2,9,squirrel,1,1,1
Carrizo,open,2,10,bird,1,1,1
Carrizo,open,2,10,none,0,60,0
Carrizo,open,2,10,rabbit,12,12,1
Carrizo,open,3,2,kangaroo rat,5,5,1
Carrizo,open,3,2,none,0,846,0
Carrizo,open,3,2,rabbit,26,26,1
Carrizo,open,3,3,none,0,14810,0
Carrizo,open,3,4,kangaroo rat,1,1,1
Carrizo,open,3,4,none,0,2655,0
Carrizo,open,3,4,rabbit,1,1,1
Carrizo,open,3,5,none,0,20,0
Carrizo,open,3,6,kit fox,2,2,1
Carrizo,open,3,6,none,0,520,0
Carrizo,open,3,7,none,0,6001,0
Carrizo,open,3,7,rabbit,2,2,1
Carrizo,open,3,8,kangaroo rat,81,81,1
Carrizo,open,3,8,none,0,592,0
Carrizo,open,3,8,rabbit,10,10,1
Carrizo,open,3,8,squirrel,9,9,1
Carrizo,open,3,9,none,0,6,0
Carrizo,open,3,10,none,0,425,0
Carrizo,open,3,10,rabbit,1,1,1
Carrizo,open,3,NA,none,0,39707,0
Mojave,buckhorn,1,1,cottontail,18,18,1
Mojave,buckhorn,1,1,ground squirrel,1,1,1
Mojave,buckhorn,1,1,none,0,50,0
